report_date,category,revenue
04/05/2022,Saree,6336.0
04/05/2022,Set,1373831.0
04/05/2022,Top,144930.0
04/05/2022,Western Dress,199584.0
04/05/2022,kurta,759543.0
05/05/2022,Blouse,7184.0
05/05/2022,Bottom,956.0
05/05/2022,Ethnic Dress,20404.0
05/05/2022,Saree,10067.0
05/05/2022,Set,1247648.0
05/05/2022,Top,142889.0
05/05/2022,Western Dress,190403.0
05/05/2022,kurta,682076.0
06/05/2022,Blouse,9659.0
06/05/2022,Bottom,646.0
06/05/2022,Ethnic Dress,19291.0
06/05/2022,Saree,8793.0
06/05/2022,Set,1182007.0
06/05/2022,Top,142493.0
06/05/2022,Western Dress,150098.0
06/05/2022,kurta,558478.0
07/05/2022,Blouse,12255.0
07/05/2022,Bottom,317.0
07/05/2022,Ethnic Dress,18075.0
07/05/2022,Saree,5319.0
07/05/2022,Set,1002174.0
07/05/2022,Top,128850.0
07/05/2022,Western Dress,144396.0
07/05/2022,kurta,459091.0
08/05/2022,Blouse,12132.0
08/05/2022,Bottom,648.0
08/05/2022,Ethnic Dress,17197.0
08/05/2022,Saree,1588.0
08/05/2022,Set,950527.0
08/05/2022,Top,127482.0
08/05/2022,Western Dress,136375.0
08/05/2022,kurta,435140.0
09/05/2022,Blouse,8206.0
09/05/2022,Bottom,979.0
09/05/2022,Ethnic Dress,15620.0
09/05/2022,Saree,1805.0
09/05/2022,Set,818142.0
09/05/2022,Top,116995.0
09/05/2022,Western Dress,124007.0
09/05/2022,kurta,451079.0
10/05/2022,Blouse,10049.0
10/05/2022,Bottom,1597.0
10/05/2022,Ethnic Dress,15027.0
10/05/2022,Saree,4403.0
10/05/2022,Set,702875.0
10/05/2022,Top,114487.0
10/05/2022,Western Dress,94395.0
10/05/2022,kurta,428411.0
11/05/2022,Blouse,11307.0
11/05/2022,Bottom,949.0
11/05/2022,Ethnic Dress,14851.0
11/05/2022,Saree,5974.0
11/05/2022,Set,637594.0
11/05/2022,Top,101468.0
11/05/2022,Western Dress,77794.0
11/05/2022,kurta,391030.0
